player,team_nfl,age_nfl,pos_nfl,pos_nfl_std,school,name_first,name_last,id_ncaa,id_nfl,from_nfl,to_nfl,height,weight,av_career,av_historic,draft_round,draft_pick,draft_team,draft_year,url_pic_player,list_teams
Isaako Aaitui,WAS,32.0,['NT'],['DL'],UNLV,Isaako,Aaitui,,AaitIs00,2013.0,2014.0,6-4,315.0,0.0,"[0.0, nan]",,,,,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14856.png&w=350&h=254,"[(2013, 'MIA'), (2014, 'WAS')]"
Jared Abbrederis,DET,28.0,['WR'],['WR'],Wisconsin,Jared,Abbrederis,jared-abbrederis-1,AbbrJa00,2014.0,2017.0,6-1,195.0,1.0,"[nan, 1.0, 0.0, 0.0]",5.0,176.0,Green Bay Packers,2014.0,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/AbbrJa00_2017.jpg,"[(2014, 'GNB'), (2015, 'GNB'), (2016, 'GNB'), (2017, 'DET')]"
Mehdi Abdesmad,TEN,27.0,['DE'],['DL'],Boston Col.,Mehdi,Abdesmad,,AbdeMe00,2016.0,2016.0,6-6,284.0,0.0,[0],,,,,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/AbdeMe00_2017.jpg,"[(2016, 'TEN')]"
Ameer Abdullah,Minnesota Vikings,26.0,['RB'],['RB'],Nebraska,Ameer,Abdullah,ameer-abdullah-1,AbduAm00,2015.0,2019.0,5-9,203.0,11.0,[],2.0,54.0,Detroit Lions,2015.0,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/AbduAm00_2019.jpg,"[(2015, 'DET'), (2016, 'DET'), (2017, 'DET'), (2018, 'MIN'), (2019, 'MIN')]"
Hamza Abdullah,ARI,36.0,"['DB', 'FS', 'SS']",['DB'],Washington St.,Hamza,Abdullah,hamza-abdullah-1,AbduHa20,2005.0,2011.0,6-2,216.0,5.0,"[0, 1, 3, 0, 0, 0, 0, 0, 1]",7.0,231.0,Tampa Bay Buccaneers,2005.0,,"[(2005, 'DEN'), (2006, 'DEN'), (2007, 'DEN'), (2008, 'DEN'), (2009, 'ARI'), (2010, 'ARI'), (2011, 'ARI')]"
Husain Abdullah,KAN,34.0,"['DB', 'SS', 'FS']",['DB'],Washington St.,Husain,Abdullah,husain-abdullah-1,AbduHu99,2008.0,2015.0,6-0,204.0,21.0,"[1, 1, 6, 3, 2, 7, 1]",,,,,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/AbduHu99_2019.jpg,"[(2008, 'MIN'), (2009, 'MIN'), (2010, 'MIN'), (2011, 'MIN'), (2012, 'MIN'), (2013, 'KAN'), (2014, 'KAN'), (2015, 'KAN')]"
Isa Abdul-Quddus,MIA,30.0,"['S', 'FS', 'DB', 'SS']",['DB'],Fordham,Isa,Abdul-Quddus,,AbduIs00,2011.0,2016.0,6-1,200.0,15.0,"[1, 2, 1, 2, 3, 6]",,,,,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/AbduIs00_2019.jpg,"[(2011, 'NOR'), (2012, 'NOR'), (2013, 'NOR'), (2014, 'DET'), (2015, 'DET'), (2016, 'MIA')]"
Karim Abdul-Jabbar,IND,45.0,['RB'],['RB'],UCLA,Karim,Abdul-Jabbar,karim-abdul-jabbar-1,AbduKa00,1996.0,2000.0,5-10,194.0,26.0,"[8, 8, 6, 4, 3, 1, 0]",3.0,80.0,Miami Dolphins,1996.0,,"[(1996, 'MIA'), (1997, 'MIA'), (1998, 'MIA'), (1999, 'MIA'), (2000, 'IND')]"
Khalid Abdullah,CIN,40.0,['LB'],['LB'],Mars Hill,Khalid,Abdullah,,AbduKh20,2003.0,2003.0,6-2,227.0,1.0,[1],5.0,136.0,Cincinnati Bengals,2003.0,,"[(2003, 'CIN')]"
Rabih Abdullah,NWE,44.0,['RB'],['RB'],Lehigh,Rabih,Abdullah,,AbduRa00,1999.0,2004.0,6-0,220.0,3.0,"[0, 1, 1, 0, 1, 0]",,,,,,"[(1999, 'TAM'), (2000, 'TAM'), (2001, 'TAM'), (2002, 'CHI'), (2003, 'CHI'), (2004, 'NEW')]"
