season,week,date,home_team,home_points,home_code,away_team,away_points,away_code
2000,1,20000903,KAN,14.0,12,IND,27.0,6
2000,1,20000903,MIN,30.0,14,CHI,27.0,3
2000,1,20000903,WAS,20.0,26,CAR,17.0,29
2000,1,20000903,CLE,7.0,5,JAX,27.0,30
2000,1,20000903,NEW,16.0,16,TAM,21.0,25
2000,1,20000903,ATL,36.0,1,SFO,28.0,28
2000,1,20000903,PIT,0.0,21,BAL,16.0,31
2000,1,20000903,NOR,10.0,15,DET,14.0,10
2000,1,20000903,NYG,21.0,17,ARI,16.0,7
2000,1,20000903,DAL,14.0,8,PHI,41.0,20
2000,1,20000903,OAK,9.0,27,LAC,6.0,23
2000,1,20000903,MIA,23.0,13,SEA,0.0,24
2000,1,20000903,GNB,16.0,11,NYJ,20.0,18
2000,1,20000903,BUF,16.0,2,TEN,13.0,19
2000,1,20000904,LAR,41.0,22,DEN,36.0,9
2000,2,20000910,MIN,13.0,14,MIA,7.0,13
2000,2,20000910,CIN,7.0,4,CLE,24.0,5
2000,2,20000910,IND,31.0,6,OAK,38.0,27
2000,2,20000910,BUF,27.0,2,GNB,18.0,11
2000,2,20000910,TAM,41.0,25,CHI,0.0,3
2000,2,20000910,PHI,18.0,20,NYG,33.0,17
2000,2,20000910,BAL,39.0,31,JAX,36.0,30
2000,2,20000910,TEN,17.0,19,KAN,14.0,12
2000,2,20000910,SEA,34.0,24,LAR,37.0,22
2000,2,20000910,LAC,27.0,23,NOR,28.0,15
2000,2,20000910,SFO,22.0,28,CAR,38.0,29
2000,2,20000910,DET,15.0,10,WAS,10.0,26
2000,2,20000910,DEN,42.0,9,ATL,14.0,1
2000,2,20000910,ARI,32.0,7,DAL,31.0,8
2000,2,20000911,NYJ,20.0,18,NEW,19.0,16
2000,3,20000917,JAX,13.0,30,CIN,0.0,4
2000,3,20000917,GNB,6.0,11,PHI,3.0,20
2000,3,20000917,CAR,10.0,29,ATL,15.0,1
2000,3,20000917,LAR,41.0,22,SFO,24.0,28
2000,3,20000917,CLE,23.0,5,PIT,20.0,21
2000,3,20000917,NYJ,27.0,18,BUF,14.0,2
2000,3,20000917,DET,10.0,10,TAM,31.0,25
2000,3,20000917,CHI,7.0,3,NYG,14.0,17
2000,3,20000917,OAK,24.0,27,DEN,33.0,9
2000,3,20000917,KAN,42.0,12,LAC,10.0,23
2000,3,20000917,SEA,20.0,24,NOR,10.0,15
2000,3,20000917,NEW,13.0,16,MIN,21.0,14
2000,3,20000917,MIA,19.0,13,BAL,6.0,31
2000,3,20000918,WAS,21.0,26,DAL,27.0,8
2000,4,20000924,PIT,20.0,21,TEN,23.0,19
2000,4,20000924,BAL,37.0,31,CIN,0.0,4
2000,4,20000924,CHI,14.0,3,DET,21.0,10
2000,4,20000924,NOR,7.0,15,PHI,21.0,20
2000,4,20000924,ATL,20.0,1,LAR,41.0,22
2000,4,20000924,MIA,10.0,13,NEW,3.0,16
2000,4,20000924,DAL,24.0,8,SFO,41.0,28
2000,4,20000924,ARI,3.0,7,GNB,29.0,11
2000,4,20000924,LAC,12.0,23,SEA,20.0,24
2000,4,20000924,TAM,17.0,25,NYJ,21.0,18
2000,4,20000924,DEN,22.0,9,KAN,23.0,12
2000,4,20000924,OAK,36.0,27,CLE,10.0,5
2000,4,20000924,NYG,6.0,17,WAS,16.0,26
