Team,Team Code,Year,Date,Time,LTime,Loc,Opponent,Team Code opp,Week,G,Day,Result,OT,Points For,Points Against,Points Difference,Points Combined,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Sk,Yds,Pass Rate,Rush Att,Rush Yard,Rush Avg,Rush TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Pass Int opp,Sk opp,Yds opp,Pass Rate opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp
ATL,1,1995,1995-09-03,1:00,1:00,,CAR,29,1,1,Sun,W 23-20,OT,23,20,3,43,27,46,58.7,274,2,1,3,16,81.2,26,117,4.5,0,23,44,52.3,261,2,0,9,68,85.5,20,51,2.55,0
BUF,2,1995,1995-09-03,8:00,6:00,@,DEN,9,1,1,Sun,L 7-22,,7,22,-15,29,15,32,46.9,174,1,0,2,16,74.2,20,60,3.0,0,22,41,53.7,299,0,1,2,18,67.0,37,140,3.78,1
CAR,29,1995,1995-09-03,1:00,1:00,@,ATL,1,1,1,Sun,L 20-23,OT,20,23,-3,43,23,44,52.3,261,2,0,9,68,85.5,20,51,2.55,0,27,46,58.7,274,2,1,3,16,81.2,26,117,4.5,0
CHI,3,1995,1995-09-03,4:00,3:00,,MIN,14,1,1,Sun,W 31-14,,31,14,17,45,19,28,67.9,254,3,1,1,8,117.3,28,143,5.11,1,26,37,70.3,230,1,1,3,17,84.3,25,118,4.72,1
CIN,4,1995,1995-09-03,1:00,1:00,@,IND,6,1,1,Sun,W 24-21,OT,24,21,3,45,19,34,55.9,249,1,0,0,0,89.0,23,87,3.78,0,28,44,63.6,246,2,3,4,36,65.2,31,144,4.65,0
CLE,31,1995,1995-09-03,1:00,1:00,@,NEW,16,1,1,Sun,L 14-17,,14,17,-3,31,20,29,69.0,241,2,1,3,13,102.8,16,60,3.75,0,30,47,63.8,302,0,0,0,0,82.0,28,125,4.46,1
IND,6,1995,1995-09-03,1:00,1:00,,CIN,4,1,1,Sun,L 21-24,OT,21,24,-3,45,28,44,63.6,246,2,3,4,36,65.2,31,144,4.65,0,19,34,55.9,249,1,0,0,0,89.0,23,87,3.78,0
ARI,7,1995,1995-09-03,4:00,4:00,@,WAS,26,1,1,Sun,L 7-27,,7,27,-20,34,10,23,43.5,88,1,4,1,4,29.2,25,109,4.36,0,14,27,51.9,197,2,1,2,7,85.0,40,259,6.48,1
DEN,9,1995,1995-09-03,8:00,6:00,,BUF,2,1,1,Sun,W 22-7,,22,7,15,29,22,41,53.7,299,0,1,2,18,67.0,37,140,3.78,1,15,32,46.9,174,1,0,2,16,74.2,20,60,3.0,0
DET,10,1995,1995-09-03,1:00,1:00,@,PIT,21,1,1,Sun,L 20-23,,20,23,-3,43,18,32,56.3,180,2,1,2,15,80.2,22,122,5.55,0,22,35,62.9,204,0,4,1,8,39.2,33,150,4.55,2
GNB,11,1995,1995-09-03,1:00,12:00,,LAR,22,1,1,Sun,L 14-17,,14,17,-3,31,29,51,56.9,262,2,3,4,37,59.4,18,53,2.94,0,19,30,63.3,133,2,0,5,33,95.6,23,54,2.35,0
JAX,30,1995,1995-09-03,1:00,1:00,,HOU,19,1,1,Sun,L 3-10,,3,10,-7,13,10,26,38.5,45,0,1,4,24,30.6,22,101,4.59,0,13,23,56.5,80,1,0,0,0,78.2,41,160,3.9,0
KAN,12,1995,1995-09-03,4:00,1:00,@,SEA,24,1,1,Sun,W 34-10,,34,10,24,44,18,23,78.3,278,3,0,0,0,156.6,33,141,4.27,0,24,46,52.2,264,1,1,3,22,67.7,18,78,4.33,0
MIA,13,1995,1995-09-03,4:00,4:00,,NYJ,18,1,1,Sun,W 52-14,,52,14,38,66,17,29,58.6,251,3,2,1,7,92.7,36,111,3.08,3,24,44,54.5,195,1,4,2,15,35.7,16,64,4.0,0
MIN,14,1995,1995-09-03,4:00,3:00,@,CHI,3,1,1,Sun,L 14-31,,14,31,-17,45,26,37,70.3,230,1,1,3,17,84.3,25,118,4.72,1,19,28,67.9,254,3,1,1,8,117.3,28,143,5.11,1
NOR,15,1995,1995-09-03,1:00,12:00,,SFO,28,1,1,Sun,L 22-24,,22,24,-2,46,23,38,60.5,252,2,1,1,14,86.7,13,26,2.0,0,26,35,74.3,282,2,1,5,27,104.7,35,154,4.4,0
NEW,16,1995,1995-09-03,1:00,1:00,,CLE,31,1,1,Sun,W 17-14,,17,14,3,31,30,47,63.8,302,0,0,0,0,82.0,28,125,4.46,1,20,29,69.0,241,2,1,3,13,102.8,16,60,3.75,0
NYJ,18,1995,1995-09-03,4:00,4:00,@,MIA,13,1,1,Sun,L 14-52,,14,52,-38,66,24,44,54.5,195,1,4,2,15,35.7,16,64,4.0,0,17,29,58.6,251,3,2,1,7,92.7,36,111,3.08,3
HOU,19,1995,1995-09-03,1:00,1:00,@,JAX,30,1,1,Sun,W 10-3,,10,3,7,13,13,23,56.5,80,1,0,0,0,78.2,41,160,3.9,0,10,26,38.5,45,0,1,4,24,30.6,22,101,4.59,0
PHI,20,1995,1995-09-03,1:00,1:00,,TAM,25,1,1,Sun,L 6-21,,6,21,-15,27,25,36,69.4,162,0,1,5,29,67.1,27,111,4.11,0,11,19,57.9,202,2,1,1,13,107.8,29,83,2.86,1
PIT,21,1995,1995-09-03,1:00,1:00,,DET,10,1,1,Sun,W 23-20,,23,20,3,43,22,35,62.9,204,0,4,1,8,39.2,33,150,4.55,2,18,32,56.3,180,2,1,2,15,80.2,22,122,5.55,0
OAK,27,1995,1995-09-03,4:00,1:00,,LAC,23,1,1,Sun,W 17-7,,17,7,10,24,14,26,53.8,108,1,0,5,28,77.1,33,139,4.21,1,23,47,48.9,294,1,1,1,11,67.2,20,77,3.85,0
LAR,22,1995,1995-09-03,1:00,12:00,@,GNB,11,1,1,Sun,W 17-14,,17,14,3,31,19,30,63.3,133,2,0,5,33,95.6,23,54,2.35,0,29,51,56.9,262,2,3,4,37,59.4,18,53,2.94,0
LAC,23,1995,1995-09-03,4:00,1:00,@,OAK,27,1,1,Sun,L 7-17,,7,17,-10,24,23,47,48.9,294,1,1,1,11,67.2,20,77,3.85,0,14,26,53.8,108,1,0,5,28,77.1,33,139,4.21,1
SEA,24,1995,1995-09-03,4:00,1:00,,KAN,12,1,1,Sun,L 10-34,,10,34,-24,44,24,46,52.2,264,1,1,3,22,67.7,18,78,4.33,0,18,23,78.3,278,3,0,0,0,156.6,33,141,4.27,0
SFO,28,1995,1995-09-03,1:00,12:00,@,NOR,15,1,1,Sun,W 24-22,,24,22,2,46,26,35,74.3,282,2,1,5,27,104.7,35,154,4.4,0,23,38,60.5,252,2,1,1,14,86.7,13,26,2.0,0
TAM,25,1995,1995-09-03,1:00,1:00,@,PHI,20,1,1,Sun,W 21-6,,21,6,15,27,11,19,57.9,202,2,1,1,13,107.8,29,83,2.86,1,25,36,69.4,162,0,1,5,29,67.1,27,111,4.11,0
WAS,26,1995,1995-09-03,4:00,4:00,,ARI,7,1,1,Sun,W 27-7,,27,7,20,34,14,27,51.9,197,2,1,2,7,85.0,40,259,6.48,1,10,23,43.5,88,1,4,1,4,29.2,25,109,4.36,0
DAL,8,1995,1995-09-04,9:00,9:00,@,NYG,17,1,1,Mon,W 35-0,,35,0,35,35,16,21,76.2,229,1,0,0,0,126.9,35,232,6.63,4,20,34,58.8,146,0,1,2,9,56.7,20,65,3.25,0
NYG,17,1995,1995-09-04,9:00,9:00,,DAL,8,1,1,Mon,L 0-35,,0,35,-35,35,20,34,58.8,146,0,1,2,9,56.7,20,65,3.25,0,16,21,76.2,229,1,0,0,0,126.9,35,232,6.63,4
