"Team","TeamCode","ConferenceCode","FBS","Power5","Conference","ConferenceAbbrev","Nickname","Name1","Name2","Name3","Name4","Name5","Name6","Name7","Name8","URL","logo","color_0_hex","color_1_hex","color_2_hex"
"Central Florida",1,1,"True","False","American Athletic","AAC","Knights","UCF","C Florida",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png","https://cdn.usteamcolors.com/images/ncaa/division-1/ucf-knights-logo.png","#000000","#B7A369",
"Cincinnati",2,1,"True","False","American Athletic","AAC","Bearcats","CIN",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png","https://cdn.usteamcolors.com/images/ncaa/division-1/cincinnati-bearcats-logo.png","#E00122","#000000",
"Connecticut",3,1,"True","False","American Athletic","AAC","Huskies","CONN","UConn",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/41.png","https://cdn.usteamcolors.com/images/ncaa/division-1/connecticut-huskies-logo.png","#000E2F",,
"East Carolina",4,1,"True","False","American Athletic","AAC","Pirates","ECU",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/151.png","https://cdn.usteamcolors.com/images/ncaa/division-1/east-carolina-pirates-logo.png","#582C83","#FFC72C",
"Houston",5,1,"True","False","American Athletic","AAC","Cougars","HOU",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/248.png","https://cdn.usteamcolors.com/images/ncaa/division-1/houston-cougars-logo.png","#C92A39",,
"Memphis",6,1,"True","False","American Athletic","AAC","Tigers","MEM",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/235.png","https://cdn.usteamcolors.com/images/ncaa/division-1/memphis-tigers-logo.png","#0D3182","#888C8F",
"Navy",7,1,"True","False","American Athletic","AAC","Midshipmen","NAVY",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png","https://cdn.usteamcolors.com/images/ncaa/division-1/navy-midshipmen-logo.png","#000048","#B4A87E",
"SMU",8,1,"True","False","American Athletic","AAC","Mustangs","SMU","Southern Methodist",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png","https://cdn.usteamcolors.com/images/ncaa/division-1/smu-mustangs-logo.png","#CC0035","#354CA1",
"South Florida",9,1,"True","False","American Athletic","AAC","Bulls","USF","S Florida",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/58.png","https://cdn.usteamcolors.com/images/ncaa/division-1/south-florida-bulls-logo.png","#006747","#CFC493",
"Temple",10,1,"True","False","American Athletic","AAC","Owls","TEM",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/218.png","https://cdn.usteamcolors.com/images/ncaa/division-1/temple-owls-logo.png","#990033",,
"Tulane",11,1,"True","False","American Athletic","AAC","Green Wave","TULN",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png","https://cdn.usteamcolors.com/images/ncaa/division-1/tulane-green-wave-logo.png","#005837","#00A4D7",
"Tulsa",12,1,"True","False","American Athletic","AAC","Golden Hurricane","TLSA",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/202.png","https://cdn.usteamcolors.com/images/ncaa/division-1/tulsa-golden-hurricane-logo.png","#E0CE78","#003366","#F5002E"
"Boston College",13,2,"True","True","Atlantic Coast","ACC","Eagles","BC","Boston Col.","Boston Coll.","Boston Coll",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/103.png","https://cdn.usteamcolors.com/images/ncaa/division-1/boston-college-eagles-logo.png","#8C2232","#DBCCA4",
"Clemson",14,2,"True","True","Atlantic Coast","ACC","Tigers","CLEM",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/228.png","https://cdn.usteamcolors.com/images/ncaa/division-1/clemson-tigers-logo.png","#F56600","#522D80",
"Duke",15,2,"True","True","Atlantic Coast","ACC","Blue Devils","DUKE",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/150.png","https://cdn.usteamcolors.com/images/ncaa/division-1/duke-blue-devils-logo.png","#0736A4",,
"Florida St.",16,2,"True","True","Atlantic Coast","ACC","Seminoles","FSU","Florida St","Florida State",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/52.png","https://cdn.usteamcolors.com/images/ncaa/division-1/florida-state-seminoles-logo.png","#782F40","#CEB888",
"Georgia Tech",17,2,"True","True","Atlantic Coast","ACC","Yellow Jackets","GT","Ga. Tech",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/59.png","https://cdn.usteamcolors.com/images/ncaa/division-1/georgia-tech-yellow-jackets-logo.png","#B3A369",,
"Louisville",18,2,"True","True","Atlantic Coast","ACC","Cardinals","LOU",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/97.png","https://cdn.usteamcolors.com/images/ncaa/division-1/louisville-cardinals-logo.png","#C9001F","#000000",
"Miami (FL)",19,2,"True","True","Atlantic Coast","ACC","Hurricanes","MIA","Miami (Fla)","Miami","Miami (Florida)",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png","https://cdn.usteamcolors.com/images/ncaa/division-1/miami-hurricanes-logo.png","#F47321","#005030",
"NC State",20,2,"True","True","Atlantic Coast","ACC","Wolfpack","NCST","North Carolina St.","North Carolina St","NC St.","NC St","North Carolina State","N Carolina St",,"https://a.espncdn.com/i/teamlogos/ncaa/500/152.png","https://cdn.usteamcolors.com/images/ncaa/division-1/nc-state-wolfpack-logo.png","#CC0000",,
"North Carolina",21,2,"True","True","Atlantic Coast","ACC","Tar Heels","UNC","N Carolina","N. Carolina",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/153.png","https://cdn.usteamcolors.com/images/ncaa/division-1/north-carolina-tar-heels-logo.png","#7BAFD4",,
"Pittsburgh",22,2,"True","True","Atlantic Coast","ACC","Panthers","PITT","Pitt",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/221.png","https://cdn.usteamcolors.com/images/ncaa/division-1/pittsburgh-panthers-logo.png","#B3A369","#0C2340",
"Syracuse",23,2,"True","True","Atlantic Coast","ACC","Orange","SYR",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/183.png","https://cdn.usteamcolors.com/images/ncaa/division-1/syracuse-orange-logo.png","#D44500",,
"Virginia",24,2,"True","True","Atlantic Coast","ACC","Cavaliers","UVA",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/258.png","https://cdn.usteamcolors.com/images/ncaa/division-1/virginia-cavaliers-logo.png","#F84C1E","#232D4B",
"Virginia Tech",25,2,"True","True","Atlantic Coast","ACC","Hokies","VT","Va. Tech",,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/259.png","https://cdn.usteamcolors.com/images/ncaa/division-1/virginia-tech-hokies-logo.png","#6A2C3E","#CF4520",
"Wake Forest",26,2,"True","True","Atlantic Coast","ACC","Demon Deacons","WAKE",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/154.png","https://cdn.usteamcolors.com/images/ncaa/division-1/wake-forest-demon-deacons-logo.png","#9E7E38","#000000",
"Illinois",27,3,"True","True","Big Ten","B1G","Fighting Illini","ILL",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/356.png","https://cdn.usteamcolors.com/images/ncaa/division-1/illinois-fighting-illini-logo.png","#E84A27","#13294B",
"Indiana",28,3,"True","True","Big Ten","B1G","Hoosiers","IND",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/84.png","https://cdn.usteamcolors.com/images/ncaa/division-1/indiana-hoosiers-logo.png","#EDEBEB","#990000",
"Iowa",29,3,"True","True","Big Ten","B1G","Hawkeyes","IOWA",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png","https://cdn.usteamcolors.com/images/ncaa/division-1/iowa-hawkeyes-logo.png","#000000","#FCD116",
"Maryland",30,3,"True","True","Big Ten","B1G","Terrapins","UMD",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/120.png","https://cdn.usteamcolors.com/images/ncaa/division-1/maryland-terrapins-logo.png","#CF102D","#000000","#FFCD23"
"Michigan",31,3,"True","True","Big Ten","B1G","Wolverines","MICH",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/130.png","https://cdn.usteamcolors.com/images/ncaa/division-1/michigan-wolverines-logo.png","#FFCB05","#00274C",
"Michigan St.",32,3,"True","True","Big Ten","B1G","Spartans","MSU","Michigan St","Michigan State","Mich. St.",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/127.png","https://cdn.usteamcolors.com/images/ncaa/division-1/michigan-state-spartans-logo.png","#18453B",,
