"Team","TeamCode","Name1","Name2","Name3","Name4","Nickname","FullName","URL","URL_NAME","logo","color_0_hex","color_1_hex","color_2_hex","color_3_hex","color_4_hex"
"ARI",7,"PHO",,,,"Cardinals","Arizona Cardinals","http://loodibee.com/wp-content/uploads/nfl-arizona-cardinals-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-arizona-cardinals-team-logo.png","https://cdn.usteamcolors.com/images/nfl/arizona-cardinals.svg","#97233f","#000000",,,
"ATL",1,,,,,"Falcons","Atlanta Falcons","http://loodibee.com/wp-content/uploads/nfl-atlanta-falcons-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-atlanta-falcons-team-logo.png","https://cdn.usteamcolors.com/images/nfl/atlanta-falcons.svg","#a71930","#000000","#a5acaf",,
"BAL",31,,,,,"Ravens","Baltimore Ravens","http://loodibee.com/wp-content/uploads/nfl-baltimore-ravens-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-baltimore-ravens-team-logo.png","https://cdn.usteamcolors.com/images/nfl/baltimore-ravens.svg","#000000","#241773","#9e7c0c",,
"BUF",2,,,,,"Bills","Buffalo Bills","http://loodibee.com/wp-content/uploads/nfl-buffalo-bills-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-buffalo-bills-team-logo.png","https://cdn.usteamcolors.com/images/nfl/buffalo-bills.svg","#00338d","#c60c30","#00274d",,
"CAR",29,,,,,"Panthers","Carolina Panthers","http://loodibee.com/wp-content/uploads/nfl-carolina-panthers-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-carolina-panthers-team-logo.png","https://cdn.usteamcolors.com/images/nfl/carolina-panthers.svg","#0085ca","#000000","#bfc0bf",,
"CHI",3,,,,,"Bears","Chicago Bears","http://loodibee.com/wp-content/uploads/nfl-chicago-bears-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-chicago-bears-team-logo.png","https://cdn.usteamcolors.com/images/nfl/chicago-bears.svg","#0b162a","#c83803",,,
"CIN",4,,,,,"Bengals","Cincinnati Bengals","http://loodibee.com/wp-content/uploads/nfl-cincinnati-bengals-team-logo.png","http://loodibee.com/wp-content/uploads/nfl-cin-cincinnati bengals-team-logo-2.png","https://cdn.usteamcolors.com/images/nfl/cincinnati-bengals.svg","#000000","#fb4f14",,,
"CLE",5,,,,,"Browns","Cleveland Browns","http://loodibee.com/wp-content/uploads/nfl-cleveland-browns-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-cleveland-browns-team-logo.png","https://cdn.usteamcolors.com/images/nfl/cleveland-browns.svg","#311d00","#ff3c00",,,
"DAL",8,,,,,"Cowboys","Dallas Cowboys","http://loodibee.com/wp-content/uploads/nfl-dallas-cowboys-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-dallas-cowboys-team-logo.png","https://cdn.usteamcolors.com/images/nfl/dallas-cowboys.svg","#002244","#869397","#00338d",,
"DEN",9,,,,,"Broncos","Denver Broncos","http://loodibee.com/wp-content/uploads/nfl-denver-broncos-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-denver-broncos-team-logo.png","https://cdn.usteamcolors.com/images/nfl/denver-broncos.svg","#fb4f14","#002244",,,
"DET",10,,,,,"Lions","Detroit Lions","http://loodibee.com/wp-content/uploads/nfl-detroit-lions-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-detroit-lions-team-logo.png","https://cdn.usteamcolors.com/images/nfl/detroit-lions.svg","#0076b6","#b0b7bc",,,
"GNB",11,"GB","GBP",,,"Packers","Green Bay Packers","http://loodibee.com/wp-content/uploads/nfl-green-bay-packers-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-green-bay-packers-team-logo.png","https://cdn.usteamcolors.com/images/nfl/green-bay-packers.svg","#203731","#ffb612",,,
"HOU",32,,,,,"Texans","Houston Texans","http://loodibee.com/wp-content/uploads/nfl-houston-texans-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-houston-texans-team-logo.png","https://cdn.usteamcolors.com/images/nfl/houston-texans.svg","#03202f","#a71930",,,
"IND",6,,,,,"Colts","Indianapolis Colts","http://loodibee.com/wp-content/uploads/nfl-indianapolis-colts-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-indianapolis-colts-team-logo.png","https://cdn.usteamcolors.com/images/nfl/indianapolis-colts.svg","#002c5f","#a5acaf",,,
"JAX",30,"JAC",,,,"Jaguars","Jacksonville Jaguars","http://loodibee.com/wp-content/uploads/nfl-jacksonville-jaguars-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-jacksonville-jaguars-team-logo.png","https://cdn.usteamcolors.com/images/nfl/jacksonville-jaguars.svg","#006778","#000000","#9f792c",,
"KAN",12,"KC","KCC",,,"Chiefs","Kansas City Chiefs","http://loodibee.com/wp-content/uploads/nfl-kansas-city-chiefs-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-kansas-city-chiefs-team-logo.png","https://cdn.usteamcolors.com/images/nfl/kansas-city-chiefs.svg","#e31837","#ffb612",,,
"LAC",23,"SDG","SD","San Diego","San Diego Chargers","Chargers","Los Angeles Chargers","http://loodibee.com/wp-content/uploads/nfl-los-angeles-chargers-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-los-angeles-chargers-team-logo.png","https://cdn.usteamcolors.com/images/nfl/los-angeles-chargers.svg","#002244","#0073cf","#ffb612",,
"LAR",22,"RAM","STL","St. Louis","St. Louis Rams","Rams","Los Angeles Rams","http://loodibee.com/wp-content/uploads/nfl-los-angeles-rams-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-los-angeles-rams-team-logo.png","https://cdn.usteamcolors.com/images/nfl/los-angeles-rams.svg","#002244","#b3995d",,,
"MIA",13,,,,,"Dolphins","Miami Dolphins","http://loodibee.com/wp-content/uploads/nfl-miami-dolphins-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-miami-dolphins-team-logo.png","https://cdn.usteamcolors.com/images/nfl/miami-dolphins.svg","#008e97","#f26a24","#005778",,
"MIN",14,,,,,"Vikings","Minnesota Vikings","http://loodibee.com/wp-content/uploads/nfl-minnesota-vikings-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-minnesota-vikings-team-logo.png","https://cdn.usteamcolors.com/images/nfl/minnesota-vikings.svg","#4f2683","#ffc62f",,,
"NOR",15,"NO","NOS",,,"Saints","New Orleans Saints","http://loodibee.com/wp-content/uploads/nfl-new-orleans-saints-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-new-orleans-saints-team-logo.png","https://cdn.usteamcolors.com/images/nfl/new-orleans-saints.svg","#d3bc8d","#000000",,,
"NEW",16,"NWE","NE","NEP",,"Patriots","New England Patriots","http://loodibee.com/wp-content/uploads/nfl-new-england-patriots-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-new-england-patriots-team-logo.png","https://cdn.usteamcolors.com/images/nfl/new-england-patriots.svg","#002244","#c60c30","#b0b7bc",,
"NYG",17,"New York G",,,,"Giants","New York Giants","http://loodibee.com/wp-content/uploads/nfl-new-york-giants-team-logo-2.png","http://loodibee.com/wp-content/uploads/nfl-new-york-giants-team-logo.png","https://cdn.usteamcolors.com/images/nfl/new-york-giants.svg","#0b2265","#a71930","#a5acaf",,
"NYJ",18,"New York J",,,,"Jets","New York Jets","http://loodibee.com/wp-content/uploads/new-york-jets-logo-1978-1997.png","http://loodibee.com/wp-content/uploads/nfl-new-york-jets-team-logo.png","https://cdn.usteamcolors.com/images/nfl/new-york-jets.svg","#003f2d",,,,
